time,ctrlCorrection0,ctrlCorrection1,ctrlCorrection2,ctrlCorrection3,ctrlDisturbance0,ctrlDisturbance1,ctrlDisturbance2,ctrlDisturbance3,ctrlGround0,ctrlGround1,ctrlGround2,ctrlGround3,ctrlOutput0,ctrlOutput1,ctrlOutput2,ctrlOutput3,ctrlOutput4,ctrlOutput5,ctrlOutputKalman0,ctrlOutputKalman1,ctrlOutputKalman2,ctrlOutputKalman3,ctrlOutputKalman4,ctrlOutputKalman5,ctrlOutputLuenburger0,ctrlOutputLuenburger1,ctrlOutputLuenburger2,ctrlOutputLuenburger3,ctrlOutputLuenburger4,ctrlOutputLuenburger5,ctrlOutputOffset0,ctrlOutputOffset1,ctrlOutputOffset2,ctrlOutputOffset3,ctrlOutputOffset4,ctrlOutputOffset5,ctrlOutputRaw0,ctrlOutputRaw1,ctrlOutputRaw2,ctrlOutputRaw3,ctrlOutputRaw4,ctrlOutputRaw5,ctrlReference0,ctrlReference1,ctrlReference2,ctrlReference3,ctrlReference4,ctrlReference5,ctrlStateIntegral0,ctrlStateIntegral1,ctrlStateIntegral2,ctrlStateIntegral3,ctrlStateIntegral4,ctrlStateIntegral5,ctrlStateKalman0,ctrlStateKalman1,ctrlStateKalman2,ctrlStateKalman3,ctrlStateKalman4,ctrlStateKalman5,ctrlStateKalman6,ctrlStateKalman7,ctrlStateKalman8,ctrlStateKalman9,ctrlStateKalman10,ctrlStateKalman11,ctrlStateKalman12,ctrlStateKalman13,ctrlStateKalman14,ctrlStateKalman15,ctrlStateKalman16,ctrlStateKalman17,ctrlStateKalman18,ctrlStateKalman19,ctrlStateKalman20,ctrlStateLuenburger0,ctrlStateLuenburger1,ctrlStateLuenburger2,ctrlStateLuenburger3,ctrlStateLuenburger4,ctrlStateLuenburger5,ctrlStateLuenburger6,ctrlStateLuenburger7,ctrlStateLuenburger8,ctrlStateLuenburger9,ctrlStateLuenburger10,ctrlStateLuenburger11,ctrlStateLuenburger12,ctrlStateLuenburger13,ctrlStateLuenburger14,ctrlStateLuenburger15,ctrlStateLuenburger16,ctrlStateLuenburger17,ctrlStateLuenburger18,ctrlStateLuenburger19,ctrlStateLuenburger20,ctrlcommand0,ctrlcommand1,ctrlcommand2,ctrlcommand3,inletRead0,inletRead1,inletRead2,inletRead3,inletTime0,inletTime1,inletTime2,inletTime3,inletWrite0,inletWrite1,inletWrite2,inletWrite3,
0.001,-0.857274,-4.85524,12.6637,-6.95117,-0.0893415,0.0929935,-0.0503132,0.0466613,230,230,180,200,-621.697,0,0,0,0,0,-621.887,-0.0552518,0,0,0.0506956,0,-624.482,2.31491,0,0,2.10224,0,-1756.54,-2144.69,0,0,-1772.99,0,-2378.24,-2144.69,0,0,-1772.99,0,-624.986,0,0,0,0,0,465.779,6.5788,0,0,54.933,0,-621.71,-0.00492275,0,0,0.00281282,0,-3.62648,-0.104997,-0.785646,-0.0913973,3.13611,1.27601,-0.490367,-3.62648,-0.113353,-0.785646,-0.0932075,3.13611,0.138541,1.27601,0.00769276,-624.746,2.4138,0,0,2.2741,0,-8.20469,-0.163762,3.89918,-0.0255098,3.21974,1.08577,-4.98494,-8.20469,-0.182666,3.89918,-0.0165261,3.21974,0.0862699,1.08577,0.0588067,-0.219707,-0.0267731,0.22044,0.0532983,229.119,224.7,191.879,192.51,708.5,708.5,708.525,708.525,228.923,225.118,192.884,193.102,
0.101,-0.858315,-4.85439,12.6644,-6.9517,-0.0520487,0.0425532,0.0359761,-0.0264807,230,230,180,200,-621.697,0,0,0,3.2894,0,-622.072,-0.0834874,0,0,0.0518495,0,-624.746,2.4138,0,0,2.2741,0,-1756.54,-2144.69,0,0,-1772.99,0,-2378.24,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,466.108,6.5788,0,0,55.262,0,-621.74,0.0104284,0,0,3.06119,0,-5.27822,-0.132406,0.631243,-0.0729786,3.13544,1.51154,-2.14278,-5.27822,-0.144567,0.631243,-0.0715242,3.13544,0.111079,1.51154,0.0444014,-625.2,2.50962,0,0,2.83265,0,-8.12487,-0.165443,3.32395,-0.0460051,3.81832,0.982609,-4.30656,-8.12487,-0.184163,3.32395,-0.0383467,3.81832,0.131072,0.982609,0.0303004,-0.148275,-0.107323,0.562008,-0.27777,228.487,224.7,191.879,192.51,708.6,708.6,708.625,708.625,228.993,225.038,193.226,192.771,
0.235,-0.858771,-4.85254,12.6622,-6.95086,-0.0228119,0.0924164,-0.111686,0.0420815,230,230,180,200,-624.986,0,0,0,0,0,-622.268,0.0735527,0,0,3.27547,0,-625.2,2.50962,0,0,2.83265,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1772.99,0,-624.986,0,0,0,0,0,466.108,6.5788,0,0,55.262,0,-624.785,0.000167999,0,0,0.243759,0,-4.3205,-0.0966077,-1.99871,-0.188176,7.62215,-1.30294,3.30165,-4.3205,-0.106562,-1.99871,-0.192781,7.62215,0.495298,-1.30294,-0.289357,-625.939,2.50399,0,0,2.87517,0,-6.30008,-0.106199,1.3003,-0.114847,6.61191,-1.61213,0.311831,-6.30008,-0.120714,1.3003,-0.111851,6.61191,0.407256,-1.61213,-0.240039,-0.0473104,0.0120009,0.212565,-0.173707,228.487,223.438,193.141,192.51,708.7,708.7,708.725,708.725,229.094,225.159,192.875,192.875,
0.349,-0.859333,-4.85083,12.6601,-6.94994,-0.0280883,0.0855118,-0.1032,0.0457767,230,230,180,200,-624.986,0,0,0,0,0,-625.217,-0.199703,0,0,-0.0864054,0,-625.939,2.50399,0,0,2.87517,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1772.99,0,-624.986,0,0,0,0,0,466.108,6.5788,0,0,55.262,0,-625.003,-0.0140721,0,0,-0.00620986,0,-1.13776,-0.0116234,-0.621757,-0.0699135,3.23951,-1.48,2.10176,-1.13776,-0.0142448,-0.621757,-0.071346,3.23951,0.239944,-1.48,-0.184844,-626.406,2.29256,0,0,2.4413,0,-3.19975,-0.0259402,2.53234,-0.00265094,2.36001,-1.6926,-0.839738,-3.19975,-0.0333125,2.53234,0.00318357,2.36001,0.157329,-1.6926,-0.134092,-0.0262985,0.0781717,0.00748796,-0.0658461,229.119,224.7,193.141,192.51,708.9,708.9,708.825,708.825,229.114,225.227,192.668,192.984,
0.452,-0.858929,-4.85021,12.6598,-6.95063,0.0201881,0.0311958,-0.0169182,-0.0344657,230,230,180,200,-624.986,0,0,0,3.2894,0,-625.117,-0.0762478,0,0,-0.216385,0,-626.406,2.29256,0,0,2.4413,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,466.108,6.5788,0,0,55.5909,0,-625.015,0.0135942,0,0,3.04372,0,-2.67381,-0.028629,2.766,0.0309721,0.524783,-0.616979,-2.14903,-2.67381,-0.0347894,2.766,0.037345,0.524783,0.0121236,-0.616979,-0.01694,-626.554,2.27227,0,0,2.58631,0,-2.56116,-0.00919326,3.61424,0.0572601,0.165061,-1.21814,-2.3961,-2.56116,-0.0150942,3.61424,0.0655873,0.165061,0.00362471,-1.21814,-0.0373356,0.0449342,0.013137,0.245575,-0.310473,228.487,224.7,191.879,192.51,709,709,708.925,708.925,229.186,225.163,192.905,192.739,
0.548,-0.858687,-4.84942,12.6596,-6.95147,0.0121017,0.0391328,-0.00926181,-0.0419727,230,230,180,200,-624.986,0,0,0,3.2894,0,-625.282,0.290195,0,0,3.25862,0,-626.554,2.27227,0,0,2.58631,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,466.108,6.5788,0,0,55.9198,0,-625.005,0.0182212,0,0,3.28402,0,-0.0234289,0.032989,0.215488,-0.0272426,2.19519,-2.38725,2.17176,-0.0234289,0.032935,0.215488,-0.0267462,2.19519,0.203459,-2.38725,-0.212627,-626.619,2.36016,0,0,2.86714,0,-0.394619,0.0475697,1.54881,0.00417574,1.95927,-3.11345,1.56465,-0.394619,0.0466605,1.54881,0.00774419,1.95927,0.199719,-3.11345,-0.237603,0.0634087,-0.0145808,0.411566,-0.466125,228.487,224.7,191.879,192.51,709.1,709.1,709.025,709.025,229.205,225.136,193.071,192.582,
0.649,-0.856507,-4.84871,12.6578,-6.95259,0.108991,0.0357589,-0.0885161,-0.0562339,230,230,180,200,-628.276,0,0,0,3.2894,0,-625.007,0.03977,0,0,3.06685,0,-626.619,2.36016,0,0,2.86714,0,-1756.54,-2144.69,0,0,-1772.99,0,-2384.82,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,465.779,6.5788,0,0,56.2488,0,-628.057,0.019908,0,0,3.29152,0,-3.68506,-0.0209709,1.97399,-0.0617611,5.15583,-3.44476,1.47076,-3.68506,-0.0294613,1.97399,-0.057213,5.15583,0.37941,-3.44476,-0.329267,-626.852,2.24323,0,0,2.75617,0,-0.28413,0.0653063,1.25413,-0.0218371,3.42624,-4.39624,3.14211,-0.28413,0.0646517,1.25413,-0.0189476,3.42624,0.331375,-4.39624,-0.363231,0.226923,0.0538949,0.25014,-0.562808,228.487,224.7,193.141,192.51,709.2,709.2,709.125,709.125,229.37,225.205,192.908,192.485,
0.739,-0.856255,-4.84789,12.6579,-6.95373,0.0126055,0.0410657,0.00318573,-0.0568569,230,230,180,200,-624.986,0,0,0,3.2894,0,-628.425,0.217307,0,0,3.14444,0,-626.852,2.24323,0,0,2.75617,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,465.779,6.5788,0,0,56.5777,0,-625.218,-0.00143928,0,0,3.25921,0,5.201,0.179581,-0.694559,0.0168478,0.666654,-5.1731,5.86766,5.201,0.191565,-0.694559,0.0152475,0.666654,0.231351,-5.1731,-0.384874,-626.651,2.09512,0,0,2.45847,0,4.72423,0.195371,0.790835,0.0493192,0.541938,-6.057,5.26617,4.72423,0.206256,0.790835,0.0511413,0.541938,0.237456,-6.057,-0.421043,0.121615,0.0289941,0.417267,-0.585282,229.119,224.7,191.879,192.51,709.3,709.3,709.225,709.225,229.265,225.181,193.075,192.461,
0.843,-0.855654,-4.84729,12.6581,-6.95514,0.0300471,0.0297515,0.0104557,-0.0702543,230,230,180,200,-624.986,0,0,0,3.2894,0,-624.698,-0.0708952,0,0,2.67245,0,-626.651,2.09512,0,0,2.45847,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1769.7,0,-624.986,0,0,0,0,0,465.779,6.5788,0,0,56.9067,0,-624.971,5.75727e-005,0,0,3.24819,0,0.394286,0.0889347,1.46515,-0.00923464,3.14539,-5.00483,3.53968,0.394286,0.0898432,1.46515,-0.00585893,3.14539,0.333193,-5.00483,-0.39789,-625.978,1.92312,0,0,1.99002,0,0.682986,0.117054,2.29337,0.0157249,2.97061,-5.94697,3.6536,0.682986,0.118627,2.29337,0.0210088,2.97061,0.34774,-5.94697,-0.446093,0.0729828,-0.00377954,0.538335,-0.61577,229.119,224.7,193.773,191.879,709.4,709.4,709.325,709.325,229.217,225.149,193.196,192.429,
0.93,-0.855881,-4.84575,12.6569,-6.95526,-0.0113409,0.0769999,-0.0596155,-0.00604348,230,230,180,200,-624.986,0,0,0,0,0,-624.931,0.146573,0,0,2.89422,0,-625.978,1.92312,0,0,1.99002,0,-1756.54,-2144.69,0,0,-1772.99,0,-2381.53,-2144.69,0,0,-1772.99,0,-624.986,0,0,0,0,0,465.779,6.5788,0,0,56.9067,0,-624.966,-0.00586212,0,0,0.202078,0,0.593609,0.0803591,-0.455183,-0.0781458,5.12157,-5.26,5.71518,0.593609,0.0817268,-0.455183,-0.0791945,5.12157,0.47808,-5.26,-0.486616,-625.756,1.89156,0,0,1.33948,0,-1.02194,0.079808,2.40289,-0.0176824,4.53713,-5.91809,3.51519,-1.02194,0.0774534,2.40289,-0.0121462,4.53713,0.432144,-5.91809,-0.477257,0.00771827,0.0459468,0.292276,-0.352645,229.119,224.7,191.879,192.51,709.4,709.4,709.425,709.425,229.152,225.2,192.949,192.692,
